year,ami_group,region,tenure,total_hh,total_hh_se
2013,30-50,1,Rent,7397,1243.2581794734344
2013,30-50,2,Own,7708,1032.2295363306303
2013,30-50,2,Rent,5029,913.9835450667673
2013,30-50,3,Own,86212,3462.6201678408943
2013,30-50,3,Rent,115958,4655.6749110328965
2013,30-50,4,Own,6067,898.3111777347424
2013,30-50,4,Rent,5322,881.9850950171432
2013,50-80,1,Own,12476,1440.9530027244678
2013,50-80,1,Rent,9637,1466.2766636343788
2013,50-80,2,Own,13825,1421.709399512193
2013,50-80,2,Rent,11083,1412.4676857162667
2013,50-80,3,Own,142928,4147.504069751185
2013,50-80,3,Rent,137847,5075.013370938759
2013,50-80,4,Own,7397,849.0836094619278
2013,50-80,4,Rent,4076,689.9785028664551
2013,80-100,1,Own,8055,1239.303492713698
2013,80-100,1,Rent,3932,899.6798341287466
2013,80-100,2,Own,7851,986.6171535707147
2013,80-100,2,Rent,3196,735.7808253906477
2013,80-100,3,Own,120084,4038.0293745187505
2013,80-100,3,Rent,62498,3251.6728051113405
2013,80-100,4,Own,6278,950.0968981305297
2013,80-100,4,Rent,2515,613.0261935507802
2013,100+,1,Own,53882,2791.17787316648
2013,100+,1,Rent,10854,1323.7942143540165
2013,100+,2,Own,50830,2864.5545541815736
2013,100+,2,Rent,9134,1332.9251368249284
2013,100+,3,Own,650429,9020.757572607181
2013,100+,3,Rent,143786,4892.04553833218
2013,100+,4,Own,30349,1611.4599879039515
2013,100+,4,Rent,8674,1227.6644129263366
2013,NA,3,Own,342,185.31002982630827
2014,0-30,1,Own,8062,1181.150098506386
2014,0-30,1,Rent,10307,1581.9440221034226
2014,0-30,2,Own,6936,940.1764612467226
2014,0-30,2,Rent,7078,1339.2636995258447
2014,0-30,3,Own,64306,2826.4799486899024
2014,0-30,3,Rent,150146,5289.5058159181135
2014,0-30,4,Own,3012,444.0645063137206
2014,0-30,4,Rent,6029,938.0001145907588
2014,30-50,1,Own,8155,1157.3266198708714
2014,30-50,1,Rent,7581,1131.6677294365445
2014,30-50,2,Own,9063,1153.439376083357
2014,30-50,2,Rent,4824,873.477799404012
2014,30-50,3,Own,87170,3446.026186789996
2014,30-50,3,Rent,113807,4550.956289883681
2014,30-50,4,Own,4878,757.708256841734
2014,30-50,4,Rent,3048,646.3136168258769
2014,50-80,1,Own,14775,1518.263766323846
2014,50-80,1,Rent,8932,1228.8219218066047
2014,50-80,2,Own,13592,1461.0084842721096
2014,50-80,2,Rent,8297,1250.986002657288
2014,50-80,3,Own,160552,4488.975090217008
2014,50-80,3,Rent,140267,5115.885340216481
2014,50-80,4,Own,8211,920.5355058722557
2014,50-80,4,Rent,5746,1026.2608816944878
2014,80-100,1,Own,10383,1307.6357936966544
