year,tenure,ami_group,region,hh_allocated,total_households,pct_hh_ten,pct_hh_ami_ten
2044,Renter,50 to 80,0,230568.78440208835,2943693.9999999995,0.3406599157251605,0.22992532688757228
2044,Renter,80 to 100,0,114673.39788393126,2943693.9999999995,0.3406599157251605,0.11435337425291438
2044,Renter,Greater than 120,0,198979.10155561974,2943693.9999999995,0.3406599157251605,0.19842380263057383
2044,Renter,Less than 30,0,214005.40313731664,2943693.9999999995,0.3406599157251605,0.21340816971236348
2044,Owner,100 to 120,1,13557.944183181562,180896,0.7391065027882198,0.10140464629688188
2044,Owner,30 to 50,1,12836.444865765729,180896,0.7391065027882198,0.09600829843635945
2044,Owner,50 to 80,1,20780.04961786208,180896,0.7391065027882198,0.15542132000697448
2044,Owner,80 to 100,1,13562.685690196344,180896,0.7391065027882198,0.10144010970012737
2044,Owner,Greater than 120,1,59678.1877903713,180896,0.7391065027882198,0.4463542143821832
2044,Owner,Less than 30,1,13286.09778100079,180896,0.7391065027882198,0.09937141117747365
2044,Renter,100 to 120,1,4338.083792940004,180896,0.2608934972117802,0.09191909043719965
2044,Renter,30 to 50,1,7857.86250024573,180896,0.2608934972117802,0.16649922137941428
2044,Renter,50 to 80,1,10327.79252936204,180896,0.2608934972117802,0.21883424591014886
2044,Renter,80 to 100,1,5014.933919299985,180896,0.2608934972117802,0.10626077929036688
2044,Renter,Greater than 120,1,9376.725247313894,180896,0.2608934972117802,0.19868220558932367
2044,Renter,Less than 30,1,10279.192082460535,180896,0.2608934972117802,0.21780445739354665
2044,Owner,100 to 120,2,10002.522985391897,165365,0.7338012409724342,0.0824304215725658
2044,Owner,30 to 50,2,10736.457851984247,165365,0.7338012409724342,0.08847875163372806
2044,Owner,50 to 80,2,18992.71017958602,165365,0.7338012409724342,0.15651822137227497
2044,Owner,80 to 100,2,13232.111023231384,165365,0.7338012409724342,0.10904533701476153
2044,Owner,Greater than 120,2,56252.777698201644,165365,0.7338012409724342,0.46357705821446954
2044,Owner,Less than 30,2,12128.462475011365,165365,0.7338012409724342,0.09995021019219998
2044,Renter,100 to 120,2,3878.0459251140187,165365,0.2661987590275659,0.08809744761488851
2044,Renter,30 to 50,2,5992.657140366064,165365,0.2661987590275659,0.13613500425007602
2044,Renter,50 to 80,2,9760.853132220236,165365,0.2661987590275659,0.22173699437742234
2044,Renter,80 to 100,2,5380.24376244242,165365,0.2661987590275659,0.12222282875702821
2044,Renter,Greater than 120,2,10173.820225068972,165365,0.2661987590275659,0.23111835486965132
2044,Renter,Less than 30,2,8834.33760138172,165365,0.2661987590275659,0.20068937013093355
2044,Owner,100 to 120,3,172364.59203561116,2506265,0.6466573914109067,0.1063522838533256
2044,Owner,30 to 50,3,131697.41656263982,2506265,0.6466573914109067,0.08125985078261187
2044,Owner,50 to 80,3,252313.5799313859,2506265,0.6466573914109067,0.15568235422369972
2044,Owner,80 to 100,3,174081.02217941277,2506265,0.6466573914109067,0.10741135441829568
2044,Owner,Greater than 120,3,768179.2704976206,2506265,0.6466573914109067,0.47398145327506996
2044,Owner,Less than 30,3,122058.90587778566,2506265,0.6466573914109067,0.07531270344699705
2044,Renter,100 to 120,3,80070.76444517868,2506265,0.3533426085890933,0.0904171835021002
2044,Renter,30 to 50,3,136260.52834945632,2506265,0.3533426085890933,0.15386756054141512
2044,Renter,50 to 80,3,205515.47119825555,2506265,0.3533426085890933,0.23207134589773673
2044,Renter,80 to 100,3,102096.22061465398,2506265,0.3533426085890933,0.11528867968416054
2044,Renter,Greater than 120,3,174280.81828080767,2506265,0.3533426085890933,0.19680067795756892
2044,Renter,Less than 30,3,187346.41002719165,2506265,0.3533426085890933,0.2115545524170185
2044,Owner,100 to 120,4,6522.9088198793725,91168,0.7146609645171444,0.1001149233253849
2044,Owner,30 to 50,4,6750.179827560631,91168,0.7146609645171444,0.1036031246994021
2044,Owner,50 to 80,4,9626.526978475831,91168,0.7146609645171444,0.14774988229218874
2044,Owner,80 to 100,4,6084.199908099874,91168,0.7146609645171444,0.09338153025217316
2044,Owner,Greater than 120,4,29200.53113930829,91168,0.7146609645171444,0.4481756554932843
2044,Owner,Less than 30,4,6969.864139775025,91168,0.7146609645171444,0.10697488393756675
2044,Renter,100 to 120,4,1696.12122133096,91168,0.28533903548285555,0.06520085209981741
