year,ami_group,region,tenure,total_hh,total_hh_se
2014,80-100,1,1,8609,1046.381115047801
2014,80-100,1,2,3298,720.9082965131753
2014,80-100,2,1,10397,1242.2049672948574
2014,80-100,2,2,5003,1040.5875945272207
2014,80-100,3,1,118132,3838.8554923401507
2014,80-100,3,2,68937,3594.422942522039
2014,80-100,4,1,5679,772.5517676837219
2014,80-100,4,2,3073,698.3783887502493
2014,100+,1,1,48410,2609.2040669479306
2014,100+,1,2,14193,1772.2812570778783
2014,100+,2,1,49158,2736.4476308343046
2014,100+,2,2,8574,1042.5073330285131
2014,100+,3,1,654762,9091.244155663675
2014,100+,3,2,175944,5710.507505756884
2014,100+,4,1,30802,1780.657884350121
2014,100+,4,2,7051,976.436618954484
2014,NA,2,1,92,92.0000000000022
2014,NA,3,2,118,118.00000000000077
2015,0-30,1,1,5945,908.0379486465333
2015,0-30,1,2,10336,1368.1948469775823
2015,0-30,2,1,6915,992.7447087034916
2015,0-30,2,2,5573,1010.5024669471755
2015,0-30,3,1,67269,2840.80711577279
2015,0-30,3,2,123524,4725.810464728037
2015,0-30,4,1,3771,500.67860453687643
2015,0-30,4,2,5633,774.9678746437402
2015,30-50,1,1,9018,1247.7563509041736
2015,30-50,1,2,6483,1074.2807430518212
2015,30-50,2,1,9299,1251.0600988618053
2015,30-50,2,2,8506,1335.987646484153
2015,30-50,3,1,82443,3279.622016782578
2015,30-50,3,2,115391,4688.236156844836
2015,30-50,4,1,5283,701.1847812797595
2015,30-50,4,2,4550,863.0868719970026
2015,50-80,1,1,14069,1489.2399559741666
2015,50-80,1,2,9337,1444.7515446023917
2015,50-80,2,1,15113,1473.6027280456979
2015,50-80,2,2,10309,1320.593403181309
2015,50-80,3,1,168934,4798.625893269624
2015,50-80,3,2,143419,5084.068103295546
2015,50-80,4,1,9040,860.3578659509078
2015,50-80,4,2,7604,1367.3142016692914
2015,80-100,1,1,8241,1156.0594267657384
2015,80-100,1,2,3970,775.6892785321628
2015,80-100,2,1,6220,792.3277984544653
2015,80-100,2,2,4804,999.0600621487654
2015,80-100,3,1,120828,3964.318766163303
2015,80-100,3,2,75848,3699.3617115613083
2015,80-100,4,1,5230,724.9221991152618
2015,80-100,4,2,1961,603.6957324390022
2015,100+,1,1,50536,2668.75699778352
2015,100+,1,2,11170,1537.7128325871004
2015,100+,2,1,50919,2750.250460285252
2015,100+,2,2,12595,1613.2164536544801
2015,100+,3,1,656186,8951.673805179737
2015,100+,3,2,181850,5690.390716341172
2015,100+,4,1,29757,1825.5397254092454
2015,100+,4,2,5970,917.1332476767353
2015,NA,1,1,202,201.99999999999335
2015,NA,3,1,235,146.39992235244793
2015,NA,3,2,187,139.53125536628372
2015,NA,4,1,44,35.44007248261362
2016,0-30,1,1,6685,973.9013271443303
2016,0-30,1,2,11609,1668.7701970719957
2016,0-30,2,1,7201,1153.136245457745
2016,0-30,2,2,7756,1190.4792950537055
2016,0-30,3,1,68488,2997.8903486508734
2016,0-30,3,2,131007,4982.04256912263
2016,0-30,4,1,5287,1009.0247749198803
2016,0-30,4,2,5354,926.3003700673927
2016,30-50,1,1,9038,1028.5350331326674
2016,30-50,1,2,8240,1256.974494925009
2016,30-50,2,1,7868,1071.0169007592299
2016,30-50,2,2,7518,1249.3053938886726
2016,30-50,3,1,93156,3385.8222695673153
2016,30-50,3,2,110604,4706.010201023044
2016,30-50,4,1,5541,711.2235509003024
2016,30-50,4,2,5479,956.9289256412868
2016,50-80,1,1,14060,1332.582566214649
2016,50-80,1,2,8273,1183.2111117899399
2016,50-80,2,1,14398,1603.8808925239614
2016,50-80,2,2,5674,833.048329609179
2016,50-80,3,1,166877,4675.684303693369
2016,50-80,3,2,139891,5016.491485411018
2016,50-80,4,1,7086,736.7630487117094
2016,50-80,4,2,6419,988.0406457596188
2016,80-100,1,1,8809,1083.1625529056626
2016,80-100,1,2,5407,1061.363658299231
2016,80-100,2,1,8666,1007.228107530906
2016,80-100,2,2,4694,980.4778830406368
2016,80-100,3,1,129483,4058.135490977106
2016,80-100,3,2,69799,3442.6130026449728
2016,80-100,4,1,6417,850.277540082248
2016,80-100,4,2,2423,598.1210285076623
2016,100+,1,1,48612,2702.6569149485244
2016,100+,1,2,12263,1620.194028414526
2016,100+,2,1,53771,2908.3567434325037
2016,100+,2,2,10719,1377.4604224925297
2016,100+,3,1,675799,9097.448873269816
2016,100+,3,2,178669,5495.472911335144
2016,100+,4,1,31425,1798.1556232349044
2016,100+,4,2,7464,1002.1928139105542
2016,NA,1,1,22,21.999999999999563
2016,NA,1,2,68,67.99999999999673
2016,NA,3,1,269,183.46369708839697
2016,NA,3,2,631,422.84819114652953
2016,NA,4,2,32,31.999999999998963
2017,0-30,1,1,6288,974.6724369423331
